Language,LanguageName,Zone,Zone Name,Zone and Name,ZoneNumber,Group,Language,Cluster 1,Cluster 2,Cluster 3
K141Lwena,K141Lwena,K,"E Angola, W Zambia","K - E Angola, W Zambia",141,Ciokwe-Luchazi,Lwena,0.01855735,0.054780877,0.000440715
K19Gangela,K19Gangela,K,"E Angola, W Zambia","K - E Angola, W Zambia",19,Ciokwe-Luchazi,Gangela,0.008902367,0.075464684,0.000337204
K221Ndembu,K221Ndembu,K,"E Angola, W Zambia","K - E Angola, W Zambia",221,Lozi,Ndembu,0.012065362,0.073285199,0.000167726
L33Luba,L33Luba,L,"S DR-Congo, C Zambia","L - S DR-Congo, C Zambia",33,Luba,Luba,0.014529567,0.062741312,0.000427102
L42Kaonde,L42Kaonde,L,"S DR-Congo, C Zambia","L - S DR-Congo, C Zambia",42,Kaonde,Kaonde,0.009455843,0.07559322,0.000284986
M15Mambwe,M15Mambwe,M,"E Zambia, SE DR-Congo","M - E Zambia, SE DR-Congo",15,Fipa-Mambwe,Mambwe,0.01006192,0.078125,0.000113873
M312Nyakyusa,M312Nyakyusa,M,"E Zambia, SE DR-Congo","M - E Zambia, SE DR-Congo",312,Nyakyusa-Ngonde,Nyakyusa,0.010334928,0.075636364,0.000209171
M42Bemba,M42Bemba,M,"E Zambia, SE DR-Congo","M - E Zambia, SE DR-Congo",42,Bemba,Bemba,0.01754386,0.059075908,0.000335874
M52Lala,M52Lala,M,"E Zambia, SE DR-Congo","M - E Zambia, SE DR-Congo",52,Lala-Bisa-Lamba,Lala,0.027340057,0.044011976,0.000178846
M54Lamba,M54Lamba,M,"E Zambia, SE DR-Congo","M - E Zambia, SE DR-Congo",54,Lala-Bisa-Lamba,Lamba,0.009647816,0.07928465,0.000105509
M641Tonga,M641Tonga,M,"E Zambia, SE DR-Congo","M - E Zambia, SE DR-Congo",641,Lenje-Tonga,Tonga,0.017209691,0.063968254,0.000147493
N212Tumbuka,N212Tumbuka,N,"Malawi and surrounding areas, C Mozambique","N - Malawi and surrounding areas, C Mozambique",212,Tumbuka,Tumbuka,0.012265446,0.070086957,0.00029242
N31aNyanja,N31aNyanja,N,"Malawi and surrounding areas, C Mozambique","N - Malawi and surrounding areas, C Mozambique",31,Chewa-Nyanja,Nyanja,0.014287215,0.068463074,0.000194302
N31bCewa,N31bCewa,N,"Malawi and surrounding areas, C Mozambique","N - Malawi and surrounding areas, C Mozambique",31,Chewa-Nyanja,Cewa,0.013287657,0.068441815,0.000279276
N31Nyasa,N31Nyasa,N,"Malawi and surrounding areas, C Mozambique","N - Malawi and surrounding areas, C Mozambique",31,Chewa-Nyanja,Nyasa,0.007746639,0.065584415,0.000679998
N42Kunda,N42Kunda,N,"Malawi and surrounding areas, C Mozambique","N - Malawi and surrounding areas, C Mozambique",42,Senga-Sena,Kunda,0.014529567,0.067374517,0.000222093
N44Sena,N44Sena,N,"Malawi and surrounding areas, C Mozambique","N - Malawi and surrounding areas, C Mozambique",44,Senga-Sena,Sena,0.011429625,0.070753065,0.000333215
P212Yao,P212Yao,P,"NE Mozambique, SE Tanzania","P - NE Mozambique, SE Tanzania",212,Yao,Yao,0.01776796,0.05109489,0.000670176
P311Makwa,P311Makwa,P,"NE Mozambique, SE Tanzania","P - NE Mozambique, SE Tanzania",311,Makhuwa,Makwa,0.01691374,0.039697543,0.001221205
R111Umbundu,R111Umbundu,R,"SW Angola, N Namibia, N Botswana","R - SW Angola, N Namibia, N Botswana",111,Umbundu,Umbundu,0.034729016,0.026208178,0.000345429
R22Ndonga,R22Ndonga,R,"SW Angola, N Namibia, N Botswana","R - SW Angola, N Namibia, N Botswana",22,Wambo,Ndonga,0.012353197,0.074876033,7.31E-05
R31Herero,R31Herero,R,"SW Angola, N Namibia, N Botswana","R - SW Angola, N Namibia, N Botswana",31,Herero,Herero,0.009798432,0.070921986,0.000462876
S10Shona,S10Shona,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",10,Shona,Shona,0.026051043,0.039637827,0.000480761
S15Ndau,S15Ndau,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",15,Shona,Ndau,0.012733447,0.067383513,0.000372696
S21Venda,S21Venda,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",21,Venda,Venda,0.015780943,0.06726094,0.000121914
S31Tswana,S31Tswana,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",31,Sotho-Tswana,Tswana,0.019329762,0.03752495,0.001130482
S33Sotho,S33Sotho,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",33,Sotho-Tswana,Sotho,0.026865075,0.029222011,0.000873201
S34Lozi,S34Lozi,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",34,Sotho-Tswana,Lozi,0.009727626,0.076070039,0.000223821
S41Xhosa,S41Xhosa,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",41,Nguni,Xhosa,0.011805214,0.075545171,8.96E-05
S42Zulu,S42Zulu,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",42,Nguni,Zulu,0.021840315,0.053231293,0.000233279
S43Swati,S43Swati,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",43,Nguni,Swati,0.027253876,0.037523452,0.000473194
S44Ndebele,S44Ndebele,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",44,Nguni,Ndebele,0.011530316,0.075856931,9.89E-05
S45Ngoni,S45Ngoni,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",45,Nguni,Ngoni,0.011272275,0.076692914,8.36E-05
S53Tsonga,S53Tsonga,S,"South Africa, Botswana, Zimbabwe, S. Mozambique.","S - South Africa, Botswana, Zimbabwe, S. Mozambique.",53,Tswa-Rhonga,Tsonga,0.025105868,0.04367816,0.000381446
